# Direct counterexample,  d = 10:  C(p) < 0 for every p in [2.0000001, 70]
claim 10 10 2.0000001 70 -
# p1 p2 lambda1 lambda2 tau0
2.0000000999999998 2.0000001009799999 1.99999996273 1.9999999829899999 0.0009765625
2.0000001009799999 2.00000010196 1.99999996246 1.9999999827199999 0.0009765625
2.00000010196 2.0000001029400001 1.99999996219 1.9999999824600001 0.0009765625
2.0000001029400001 2.0000001039200002 1.99999996193 1.9999999821900001 0.0009765625
2.0000001039200002 2.0000001048999998 1.9999999616599999 1.9999999819300001 0.0009765625
2.0000001048999998 2.0000001058799999 1.9999999613999999 1.99999998166 0.0009765625
2.0000001058799999 2.00000010686 1.9999999611299999 1.9999999814 0.0009765625
2.00000010686 2.00000010784 1.9999999608700001 1.99999998113 0.0009765625
2.00000010784 2.0000001088200001 1.9999999606000001 1.99999998087 0.0009765625
2.0000001088200001 2.0000001098000002 1.99999996034 1.9999999805999999 0.0009765625
2.0000001098000002 2.0000001107799998 1.99999996007 1.9999999803399999 0.0009765625
2.0000001107799998 2.0000001117599999 1.99999995981 1.9999999800699999 0.0009765625
2.0000001117599999 2.00000011275 1.99999995954 1.9999999798100001 0.0009765625
2.00000011275 2.0000001137300001 1.99999995928 1.9999999795400001 0.0009765625
2.0000001137300001 2.0000001147100002 1.9999999590199999 1.9999999792800001 0.0009765625
2.0000001147100002 2.0000001156899998 1.9999999587499999 1.99999997902 0.0009765625
2.0000001156899998 2.0000001166699999 1.9999999584899999 1.99999997875 0.0009765625
2.0000001166699999 2.00000011765 1.9999999582200001 1.99999997849 0.0009765625
2.00000011765 2.00000011863 1.9999999579600001 1.99999997822 0.0009765625
2.00000011863 2.0000001196100001 1.9999999576900001 1.99999997796 0.0009765625
2.0000001196100001 2.0000001205900002 1.99999995743 1.9999999776899999 0.0009765625
2.0000001205900002 2.0000001215699998 1.99999995716 1.9999999774299999 0.0009765625
2.0000001215699998 2.0000001225499999 1.9999999569 1.9999999771600001 0.0009765625
2.0000001225499999 2.00000012353 1.99999995663 1.9999999769000001 0.0009765625
2.00000012353 2.0000001245100001 1.9999999563699999 1.9999999766300001 0.0009765625
2.0000001245100001 2.0000001254900002 1.9999999560999999 1.99999997637 0.0009765625
2.0000001254900002 2.0000001264699998 1.9999999558399999 1.9999999761 0.0009765625
2.0000001264699998 2.0000001274499999 1.9999999555700001 1.99999997584 0.0009765625
2.0000001274499999 2.00000012843 1.9999999553100001 1.99999997557 0.0009765625
2.00000012843 2.00000012941 1.9999999550400001 1.99999997531 0.0009765625
2.00000012941 2.0000001303900001 1.99999995478 1.9999999750399999 0.0009765625
2.0000001303900001 2.0000001313700002 1.99999995451 1.9999999747799999 0.0009765625
2.0000001313700002 2.0000001323499998 1.99999995425 1.9999999745099999 0.0009765625
2.0000001323499998 2.0000001333299999 1.99999995398 1.9999999742500001 0.0009765625
2.0000001333299999 2.00000013431 1.9999999537199999 1.9999999739900001 0.0009765625
2.00000013431 2.0000001352900001 1.9999999534499999 1.99999997372 0.0009765625
2.0000001352900001 2.0000001362700002 1.9999999531899999 1.99999997345 0.0009765625
2.0000001362700002 2.0000001372499998 1.9999999529200001 1.99999997319 0.0009765625
2.0000001372499998 2.0000001382399999 1.9999999526600001 1.99999997292 0.0009765625
2.0000001382399999 2.00000013922 1.9999999523900001 1.99999997266 0.0009765625
2.00000013922 2.0000001402000001 1.99999995213 1.9999999723899999 0.0009765625
2.0000001402000001 2.0000001411800001 1.99999995187 1.9999999721299999 0.0009765625
2.0000001411800001 2.0000001421600002 1.9999999516 1.9999999718699999 0.0009765625
2.0000001421600002 2.0000001431399999 1.99999995134 1.9999999716000001 0.0009765625
2.0000001431399999 2.0000001441199999 1.9999999510699999 1.9999999713400001 0.0009765625
2.0000001441199999 2.0000001451 1.9999999508099999 1.99999997107 0.0009765625
2.0000001451 2.0000001460800001 1.9999999505399999 1.99999997081 0.0009765625
2.0000001460800001 2.0000001470600002 1.9999999502800001 1.99999997054 0.0009765625
2.0000001470600002 2.0000001480399998 1.9999999500100001 1.99999997028 0.0009765625
2.0000001480399998 2.0000001490199999 1.9999999497500001 1.99999997001 0.0009765625
2.0000001490199999 2.00000015 1.99999994948 1.9999999697499999 0.0009765625
2.00000015 2.0000001509800001 1.99999994922 1.9999999694799999 0.0009765625
2.0000001509800001 2.0000001519600001 1.99999994895 1.9999999692199999 0.0009765625
2.0000001519600001 2.0000001529400002 1.99999994869 1.9999999689500001 0.0009765625
2.0000001529400002 2.0000001539199999 1.99999994842 1.9999999686900001 0.0009765625
2.0000001539199999 2.0000001548999999 1.9999999481599999 1.9999999684200001 0.0009765625
2.0000001548999999 2.00000015588 1.9999999478899999 1.99999996816 0.0009765625
2.00000015588 2.0000001568600001 1.9999999476300001 1.99999996789 0.0009765625
2.0000001568600001 2.0000001578400002 1.9999999473600001 1.99999996763 0.0009765625
2.0000001578400002 2.0000001588199998 1.9999999471000001 1.99999996736 0.0009765625
2.0000001588199998 2.0000001597999999 1.99999994683 1.9999999670999999 0.0009765625
2.0000001597999999 2.00000016078 1.99999994657 1.9999999668299999 0.0009765625
2.00000016078 2.0000001617600001 1.9999999463 1.9999999665699999 0.0009765625
2.0000001617600001 2.0000001627500001 1.99999994604 1.9999999663000001 0.0009765625
2.0000001627500001 2.0000001637299998 1.99999994577 1.9999999660400001 0.0009765625
2.0000001637299998 2.0000001647099999 1.9999999455099999 1.9999999657700001 0.0009765625
2.0000001647099999 2.0000001656899999 1.9999999452499999 1.99999996551 0.0009765625
2.0000001656899999 2.00000016667 1.9999999449800001 1.99999996525 0.0009765625
2.00000016667 2.0000001676500001 1.9999999447200001 1.99999996498 0.0009765625
2.0000001676500001 2.0000001686300002 1.9999999444500001 1.99999996472 0.0009765625
2.0000001686300002 2.0000001696099998 1.99999994419 1.9999999644499999 0.0009765625
2.0000001696099998 2.0000001705899999 1.99999994392 1.9999999641899999 0.0009765625
2.0000001705899999 2.00000017157 1.99999994366 1.9999999639199999 0.0009765625
2.00000017157 2.0000001725500001 1.99999994339 1.9999999636600001 0.0009765625
2.0000001725500001 2.0000001735300001 1.99999994313 1.9999999633900001 0.0009765625
2.0000001735300001 2.0000001745099998 1.9999999428599999 1.9999999631300001 0.0009765625
2.0000001745099998 2.0000001754899999 1.9999999425999999 1.99999996286 0.0009765625
2.0000001754899999 2.0000001764699999 1.9999999423299999 1.9999999626 0.0009765625
2.0000001764699999 2.00000017745 1.9999999420700001 1.99999996233 0.0009765625
2.00000017745 2.0000001784300001 1.9999999418000001 1.99999996207 0.0009765625
2.0000001784300001 2.0000001794100002 1.99999994154 1.9999999617999999 0.0009765625
2.0000001794100002 2.0000001803899998 1.99999994127 1.9999999615399999 0.0009765625
2.0000001803899998 2.0000001813699999 1.99999994101 1.9999999612699999 0.0009765625
2.0000001813699999 2.00000018235 1.99999994074 1.9999999610100001 0.0009765625
2.00000018235 2.0000001833300001 1.99999994048 1.9999999607400001 0.0009765625
2.0000001833300001 2.0000001843100002 1.9999999402099999 1.9999999604800001 0.0009765625
2.0000001843100002 2.0000001852899998 1.9999999399499999 1.99999996021 0.0009765625
2.0000001852899998 2.0000001862699999 1.9999999396799999 1.99999995995 0.0009765625
2.0000001862699999 2.00000018725 1.9999999394200001 1.99999995968 0.0009765625
2.00000018725 2.00000018824 1.9999999391500001 1.99999995942 0.0009765625
2.00000018824 2.0000001892200001 1.9999999388900001 1.99999995915 0.0009765625
2.0000001892200001 2.0000001902000002 1.99999993862 1.9999999588899999 0.0009765625
2.0000001902000002 2.0000001911799998 1.99999993836 1.9999999586199999 0.0009765625
2.0000001911799998 2.0000001921599999 1.9999999381 1.9999999583600001 0.0009765625
2.0000001921599999 2.00000019314 1.99999993783 1.9999999581000001 0.0009765625
2.00000019314 2.0000001941200001 1.9999999375699999 1.9999999578300001 0.0009765625
2.0000001941200001 2.0000001951000002 1.9999999372999999 1.99999995757 0.0009765625
2.0000001951000002 2.0000001960799998 1.9999999370399999 1.9999999573 0.0009765625
2.0000001960799998 2.0000001970599999 1.9999999367700001 1.99999995704 0.0009765625
2.0000001970599999 2.00000019804 1.9999999365100001 1.99999995677 0.0009765625
2.00000019804 2.00000019902 1.9999999362400001 1.99999995651 0.0009765625
2.00000019902 2.0000002000000001 1.99999993598 1.9999999562399999 0.0009765625
2.0000002000000001 2.0000002019599998 1.99999993545 1.9999999559799999 0.0009765625
2.0000002019599998 2.00000020392 1.9999999349199999 1.9999999554500001 0.0009765625
2.00000020392 2.0000002058800002 1.9999999343899999 1.99999995492 0.0009765625
2.0000002058800002 2.0000002078399999 1.9999999338600001 1.99999995439 0.0009765625
2.0000002078399999 2.0000002098 1.99999993333 1.99999995386 0.0009765625
2.0000002098 2.0000002117600002 1.9999999328 1.9999999533299999 0.0009765625
2.0000002117600002 2.0000002137299999 1.9999999322699999 1.9999999528000001 0.0009765625
2.0000002137299999 2.0000002156900001 1.9999999317399999 1.99999995227 0.0009765625
2.0000002156900001 2.0000002176499998 1.9999999312100001 1.99999995174 0.0009765625
2.0000002176499998 2.00000021961 1.99999993068 1.99999995121 0.0009765625
2.00000021961 2.0000002215700001 1.99999993015 1.9999999506799999 0.0009765625
2.0000002215700001 2.0000002235299998 1.9999999296199999 1.9999999501500001 0.0009765625
2.0000002235299998 2.00000022549 1.9999999290899999 1.9999999496200001 0.0009765625
2.00000022549 2.0000002274500002 1.9999999285600001 1.99999994909 0.0009765625
2.0000002274500002 2.0000002294099999 1.99999992803 1.99999994856 0.0009765625
2.0000002294099999 2.00000023137 1.9999999275 1.9999999480299999 0.0009765625
2.00000023137 2.0000002333300002 1.99999992697 1.9999999475000001 0.0009765625
2.0000002333300002 2.0000002352899999 1.9999999264399999 1.9999999469700001 0.0009765625
2.0000002352899999 2.0000002372500001 1.9999999259100001 1.99999994644 0.0009765625
2.0000002372500001 2.0000002392199998 1.99999992538 1.99999994591 0.0009765625
2.0000002392199998 2.00000024118 1.99999992486 1.9999999453799999 0.0009765625
2.00000024118 2.0000002431400001 1.99999992433 1.9999999448600001 0.0009765625
2.0000002431400001 2.0000002450999999 1.9999999237999999 1.9999999443300001 0.0009765625
2.0000002450999999 2.00000024706 1.9999999232700001 1.9999999438 0.0009765625
2.00000024706 2.0000002490200002 1.99999992274 1.99999994327 0.0009765625
2.0000002490200002 2.0000002509799999 1.99999992221 1.9999999427399999 0.0009765625
2.0000002509799999 2.0000002529400001 1.99999992168 1.9999999422100001 0.0009765625
2.0000002529400001 2.0000002549000002 1.9999999211499999 1.9999999416800001 0.0009765625
2.0000002549000002 2.0000002568599999 1.9999999206200001 1.99999994115 0.0009765625
2.0000002568599999 2.0000002588200001 1.99999992009 1.99999994062 0.0009765625
2.0000002588200001 2.0000002607799998 1.99999991956 1.9999999400899999 0.0009765625
2.0000002607799998 2.00000026275 1.99999991903 1.9999999395600001 0.0009765625
2.00000026275 2.0000002647100001 1.9999999184999999 1.9999999390300001 0.0009765625
2.0000002647100001 2.0000002666699999 1.9999999179700001 1.9999999385 0.0009765625
2.0000002666699999 2.00000026863 1.9999999174400001 1.99999993797 0.0009765625
2.00000026863 2.0000002705900002 1.99999991691 1.9999999374399999 0.0009765625
2.0000002705900002 2.0000002725499999 1.99999991638 1.9999999369100001 0.0009765625
2.0000002725499999 2.0000002745100001 1.9999999158499999 1.9999999363800001 0.0009765625
2.0000002745100001 2.0000002764699998 1.9999999153200001 1.99999993585 0.0009765625
2.0000002764699998 2.0000002784299999 1.9999999147900001 1.99999993532 0.0009765625
2.0000002784299999 2.0000002803900001 1.99999991426 1.9999999347899999 0.0009765625
2.0000002803900001 2.0000002823499998 1.99999991373 1.9999999342599999 0.0009765625
2.0000002823499998 2.00000028431 1.9999999131999999 1.9999999337300001 0.0009765625
2.00000028431 2.0000002862700001 1.9999999126700001 1.9999999332 0.0009765625
2.0000002862700001 2.0000002882399999 1.9999999121400001 1.99999993267 0.0009765625
2.0000002882399999 2.0000002902 1.99999991161 1.9999999321399999 0.0009765625
2.0000002902 2.0000002921600002 1.99999991109 1.9999999316099999 0.0009765625
2.0000002921600002 2.0000002941199999 1.9999999105599999 1.9999999310900001 0.0009765625
2.0000002941199999 2.0000002960800001 1.9999999100300001 1.99999993056 0.0009765625
2.0000002960800001 2.0000002980399998 1.9999999095000001 1.99999993003 0.0009765625
2.0000002980399998 2.0000003 1.99999990897 1.9999999294999999 0.0009765625
2.0000003 2.0000003019600001 1.99999990844 1.9999999289699999 0.0009765625
2.0000003019600001 2.0000003039199998 1.9999999079099999 1.9999999284400001 0.0009765625
2.0000003039199998 2.00000030588 1.9999999073800001 1.99999992791 0.0009765625
2.00000030588 2.0000003078400002 1.9999999068500001 1.99999992738 0.0009765625
2.0000003078400002 2.0000003097999999 1.99999990632 1.9999999268499999 0.0009765625
2.0000003097999999 2.00000031176 1.99999990579 1.9999999263199999 0.0009765625
2.00000031176 2.0000003137300002 1.9999999052599999 1.9999999257900001 0.0009765625
2.0000003137300002 2.0000003156899999 1.9999999047300001 1.99999992526 0.0009765625
2.0000003156899999 2.0000003176500001 1.9999999042000001 1.99999992473 0.0009765625
2.0000003176500001 2.0000003196099998 1.99999990367 1.9999999241999999 0.0009765625
2.0000003196099998 2.00000032157 1.99999990314 1.9999999236699999 0.0009765625
2.00000032157 2.0000003235300001 1.9999999026099999 1.9999999231400001 0.0009765625
2.0000003235300001 2.0000003254899998 1.9999999020799999 1.99999992261 0.0009765625
2.0000003254899998 2.00000032745 1.9999999015500001 1.99999992208 0.0009765625
2.00000032745 2.0000003294100002 1.99999990102 1.9999999215499999 0.0009765625
2.0000003294100002 2.0000003313699999 1.99999990049 1.9999999210199999 0.0009765625
2.0000003313699999 2.00000033333 1.9999998999599999 1.9999999204900001 0.0009765625
2.00000033333 2.0000003352900002 1.9999998994399999 1.99999991997 0.0009765625
2.0000003352900002 2.0000003372499999 1.9999998989000001 1.99999991943 0.0009765625
2.0000003372499999 2.0000003392200001 1.99999989837 1.9999999189 0.0009765625
2.0000003392200001 2.0000003411799998 1.99999989784 1.9999999183699999 0.0009765625
2.0000003411799998 2.00000034314 1.9999998973199999 1.9999999178400001 0.0009765625
2.00000034314 2.0000003451000001 1.9999998967899999 1.99999991732 0.0009765625
2.0000003451000001 2.0000003470599999 1.9999998962600001 1.99999991679 0.0009765625
2.0000003470599999 2.00000034902 1.99999989573 1.99999991626 0.0009765625
2.00000034902 2.0000003509800002 1.9999998952 1.9999999157299999 0.0009765625
