# Direct counterexample,  d = 4:   C(p) < 0 for every p in [2.0000001, 24.25]
claim 4 4 2.0000001 24.25 -
# p1 p2 lambda1 lambda2 tau0
2.0000000999999998 2.0000001009799999 1.9999999591299999 1.9999999655 0.0009765625
2.0000001009799999 2.00000010196 1.9999999587699999 1.99999996513 0.0009765625
2.00000010196 2.0000001029400001 1.9999999584000001 1.99999996477 0.0009765625
2.0000001029400001 2.0000001039200002 1.9999999580300001 1.9999999643999999 0.0009765625
2.0000001039200002 2.0000001048999998 1.99999995766 1.9999999640299999 0.0009765625
2.0000001048999998 2.0000001058799999 1.99999995729 1.9999999636600001 0.0009765625
2.0000001058799999 2.00000010686 1.99999995693 1.9999999632900001 0.0009765625
2.00000010686 2.00000010784 1.99999995656 1.99999996293 0.0009765625
2.00000010784 2.0000001088200001 1.9999999561899999 1.99999996256 0.0009765625
2.0000001088200001 2.0000001098000002 1.9999999558199999 1.99999996219 0.0009765625
2.0000001098000002 2.0000001107799998 1.9999999554600001 1.9999999618199999 0.0009765625
2.0000001107799998 2.0000001117599999 1.9999999550900001 1.9999999614599999 0.0009765625
2.0000001117599999 2.00000011275 1.99999995472 1.9999999610899999 0.0009765625
2.00000011275 2.0000001137300001 1.99999995435 1.9999999607200001 0.0009765625
2.0000001137300001 2.0000001147100002 1.99999995399 1.9999999603500001 0.0009765625
2.0000001147100002 2.0000001156899998 1.9999999536199999 1.99999995999 0.0009765625
2.0000001156899998 2.0000001166699999 1.9999999532499999 1.99999995962 0.0009765625
2.0000001166699999 2.00000011765 1.9999999528800001 1.99999995925 0.0009765625
2.00000011765 2.00000011863 1.9999999525200001 1.9999999588799999 0.0009765625
2.00000011863 2.0000001196100001 1.99999995215 1.9999999585199999 0.0009765625
2.0000001196100001 2.0000001205900002 1.99999995178 1.9999999581500001 0.0009765625
2.0000001205900002 2.0000001215699998 1.99999995141 1.9999999577800001 0.0009765625
2.0000001215699998 2.0000001225499999 1.9999999510399999 1.99999995741 0.0009765625
2.0000001225499999 2.00000012353 1.9999999506799999 1.99999995704 0.0009765625
2.00000012353 2.0000001245100001 1.9999999503100001 1.99999995668 0.0009765625
2.0000001245100001 2.0000001254900002 1.9999999499400001 1.9999999563099999 0.0009765625
2.0000001254900002 2.0000001264699998 1.99999994957 1.9999999559399999 0.0009765625
2.0000001264699998 2.0000001274499999 1.99999994921 1.9999999555700001 0.0009765625
2.0000001274499999 2.00000012843 1.99999994884 1.9999999552100001 0.0009765625
2.00000012843 2.00000012941 1.99999994147 1.99999996184 0.0009765625
2.00000012941 2.0000001303900001 1.9999999411 1.9999999614699999 0.0009765625
2.0000001303900001 2.0000001313700002 1.99999994074 1.9999999610999999 0.0009765625
2.0000001313700002 2.0000001323499998 1.99999994037 1.9999999607400001 0.0009765625
2.0000001323499998 2.0000001333299999 1.9999999399999999 1.9999999603700001 0.0009765625
2.0000001333299999 2.00000013431 1.9999999396299999 1.99999996 0.0009765625
2.00000013431 2.0000001352900001 1.9999999392700001 1.99999995963 0.0009765625
2.0000001352900001 2.0000001362700002 1.9999999389000001 1.99999995927 0.0009765625
2.0000001362700002 2.0000001372499998 1.99999993853 1.9999999588999999 0.0009765625
2.0000001372499998 2.0000001382399999 1.99999993816 1.9999999585299999 0.0009765625
2.0000001382399999 2.00000013922 1.99999993779 1.9999999581600001 0.0009765625
2.00000013922 2.0000001402000001 1.9999999374299999 1.9999999577900001 0.0009765625
2.0000001402000001 2.0000001411800001 1.9999999370599999 1.99999995743 0.0009765625
2.0000001411800001 2.0000001421600002 1.9999999366900001 1.99999995706 0.0009765625
2.0000001421600002 2.0000001431399999 1.9999999363200001 1.99999995669 0.0009765625
