# Direct counterexample,  d = 7:  C(p) < 0 on [2.0000001, 48.28]
claim 7 7 2.0000001 48.28 -
# p1 p2 lambda1 lambda2 tau0
2.0000000999999998 2.000000100980392 1.9999999590183992 1.9999999793191954 0.0009765625
2.000000100980392 2.0000001019607843 1.9999999587165747 1.9999999790173699 0.0009765625
2.0000001019607843 2.0000001029411765 1.9999999584157844 1.9999999787165748 0.0009765625
2.0000001029411765 2.0000001039215687 1.9999999581149932 1.9999999784157845 0.0009765625
2.0000001039215687 2.0000001049019605 1.9999999578141994 1.9999999781149933 0.0009765625
2.0000001049019605 2.0000001058823527 1.999999957513408 1.9999999778141995 0.0009765625
2.0000001058823527 2.0000001068627449 1.9999999572126117 1.9999999775134081 0.0009765625
2.0000001068627449 2.0000001078431371 1.999999956911815 1.9999999772126118 0.0009765625
2.0000001078431371 2.0000001088235293 1.9999999566110185 1.9999999769118151 0.0009765625
2.0000001088235293 2.0000001098039215 1.9999999563102282 1.9999999766110186 0.0009765625
2.0000001098039215 2.0000001107843137 1.9999999560094233 1.9999999763102283 0.0009765625
2.0000001107843137 2.0000001117647059 1.9999999557086343 1.9999999760094234 0.0009765625
2.0000001117647059 2.0000001127450977 1.9999999554078416 1.9999999757086344 0.0009765625
2.0000001127450977 2.0000001137254899 1.9999999551070489 1.9999999754078417 0.0009765625
2.0000001137254899 2.0000001147058821 1.9999999548062559 1.999999975107049 0.0009765625
2.0000001147058821 2.0000001156862743 1.9999999545054596 1.999999974806256 0.0009765625
2.0000001156862743 2.0000001166666665 1.9999999542046674 1.9999999745054597 0.0009765625
2.0000001166666665 2.0000001176470588 1.9999999539038715 1.9999999742046675 0.0009765625
2.0000001176470588 2.000000118627451 1.9999999536030735 1.9999999739038716 0.0009765625
2.000000118627451 2.0000001196078432 1.9999999533022901 1.9999999736030736 0.0009765625
2.0000001196078432 2.0000001205882354 1.999999953001484 1.9999999733022902 0.0009765625
2.0000001205882354 2.0000001215686272 1.9999999527006922 1.9999999730014841 0.0009765625
2.0000001215686272 2.0000001225490194 1.9999999523999026 1.9999999727006923 0.0009765625
2.0000001225490194 2.0000001235294116 1.9999999520991094 1.9999999723999027 0.0009765625
2.0000001235294116 2.0000001245098038 1.9999999517983138 1.9999999720991095 0.0009765625
2.0000001245098038 2.000000125490196 1.9999999514975184 1.9999999717983139 0.0009765625
2.000000125490196 2.0000001264705882 1.9999999511967335 1.9999999714975185 0.0009765625
2.0000001264705882 2.0000001274509804 1.9999999508959316 1.9999999711967336 0.0009765625
2.0000001274509804 2.0000001284313726 1.9999999505951336 1.9999999708959317 0.0009765625
2.0000001284313726 2.0000001294117644 1.9999999502943453 1.9999999705951337 0.0009765625
2.0000001294117644 2.0000001303921566 1.9999999499935479 1.9999999702943454 0.0009765625
2.0000001303921566 2.0000001313725488 1.9999999496927481 1.999999969993548 0.0009765625
2.0000001313725488 2.0000001323529411 1.99999994939196 1.9999999696927482 0.0009765625
2.0000001323529411 2.0000001333333333 1.9999999490911693 1.9999999693919601 0.0009765625
2.0000001333333333 2.0000001343137255 1.9999999487914035 1.9999999690921948 0.0009765625
2.0000001343137255 2.0000001352941177 1.9999999484895765 1.9999999687903747 0.0009765625
2.0000001352941177 2.0000001362745099 1.9999999481887827 1.9999999684895766 0.0009765625
2.0000001362745099 2.0000001372549017 1.9999999478879882 1.9999999681887828 0.0009765625
2.0000001372549017 2.0000001382352939 1.9999999475871897 1.9999999678879883 0.0009765625
2.0000001382352939 2.0000001392156861 1.9999999472864063 1.9999999675871898 0.0009765625
2.0000001392156861 2.0000001401960783 1.9999999469856133 1.9999999672864064 0.0009765625
2.0000001401960783 2.0000001411764705 1.9999999466848148 1.9999999669856134 0.0009765625
2.0000001411764705 2.0000001421568627 1.9999999463840179 1.9999999666848149 0.0009765625
2.0000001421568627 2.0000001431372549 1.9999999460832281 1.999999966384018 0.0009765625
2.0000001431372549 2.0000001441176467 1.9999999457824356 1.9999999660832282 0.0009765625
2.0000001441176467 2.0000001450980389 1.9999999454816364 1.9999999657824357 0.0009765625
2.0000001450980389 2.0000001460784311 1.9999999451808426 1.9999999654816365 0.0009765625
